epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.336,2.11779,3.4821,1.94296,0.14745,0.19656,0.08743,0.03307,2.35963,3.93932,2.19496,0.000415389,0.000415389,0.000415389
2,465.685,2.15908,2.95088,1.99898,0.16524,0.16053,0.09832,0.03575,2.33478,3.66511,2.18353,0.000815581,0.000815581,0.000815581
3,699.818,2.16725,2.86978,2.00541,0.22078,0.2212,0.1421,0.05256,2.23624,3.56202,2.13445,0.00119927,0.00119927,0.00119927
4,910.917,2.12511,2.79326,1.95345,0.23156,0.25963,0.17805,0.06751,2.20688,3.56566,2.05416,0.00117575,0.00117575,0.00117575
5,1119.72,2.03634,2.67043,1.88765,0.29575,0.3069,0.21046,0.0846,2.10576,2.92651,1.94606,0.001151,0.001151,0.001151
6,1856.06,2.00962,2.6352,1.88022,0.30275,0.29771,0.23601,0.1006,2.03906,2.71638,1.87653,0.00112625,0.00112625,0.00112625
7,2296.44,1.96416,2.52083,1.82821,0.26459,0.31407,0.18649,0.07604,2.08337,3.34275,1.97258,0.0011015,0.0011015,0.0011015
8,2508.09,1.92143,2.45893,1.78814,0.36298,0.35989,0.30144,0.13188,1.96347,2.70213,1.84473,0.00107675,0.00107675,0.00107675
9,2718.67,1.88536,2.38689,1.7609,0.38694,0.34757,0.30503,0.13287,1.93495,2.71053,1.82635,0.001052,0.001052,0.001052
10,3559.47,1.8851,2.36276,1.7531,0.37661,0.37951,0.31529,0.14155,1.94932,2.55928,1.79444,0.00102725,0.00102725,0.00102725
11,3769.82,1.85388,2.32151,1.74137,0.38796,0.39055,0.32839,0.1472,1.85648,2.55126,1.75489,0.0010025,0.0010025,0.0010025
12,4015.23,1.8351,2.25469,1.72258,0.46,0.40965,0.3931,0.18351,1.80974,2.36602,1.7207,0.00097775,0.00097775,0.00097775
13,4226.15,1.8166,2.26212,1.7035,0.44418,0.42946,0.39836,0.18208,1.83333,2.23552,1.71808,0.000953,0.000953,0.000953
14,4440.68,1.79649,2.20553,1.68554,0.46012,0.41688,0.39876,0.18815,1.83325,2.21969,1.72271,0.00092825,0.00092825,0.00092825
15,4650.69,1.7921,2.19329,1.689,0.48381,0.4293,0.42157,0.19694,1.83009,2.35447,1.70839,0.0009035,0.0009035,0.0009035
16,4860.01,1.78215,2.15764,1.668,0.48073,0.43254,0.42148,0.20662,1.78003,2.19524,1.66179,0.00087875,0.00087875,0.00087875
17,5069.37,1.75599,2.11255,1.65624,0.48165,0.45012,0.43789,0.21684,1.73703,2.14,1.64452,0.000854,0.000854,0.000854
18,5278.74,1.73784,2.07195,1.63149,0.48848,0.45316,0.44063,0.21599,1.74288,2.11979,1.6509,0.00082925,0.00082925,0.00082925
19,5488.29,1.73172,2.05572,1.62816,0.49264,0.46386,0.45643,0.22837,1.75396,2.12873,1.6274,0.0008045,0.0008045,0.0008045
20,5697.56,1.70896,2.03484,1.61364,0.53188,0.49133,0.49329,0.24563,1.71873,2.06691,1.6242,0.00077975,0.00077975,0.00077975
21,5906.69,1.70847,1.98695,1.60625,0.53539,0.4976,0.5011,0.25377,1.69643,1.99738,1.6048,0.000755,0.000755,0.000755
22,6115.58,1.69609,1.99183,1.60659,0.56152,0.49945,0.52175,0.27039,1.65796,1.90026,1.5742,0.00073025,0.00073025,0.00073025
23,6324.62,1.69437,1.96172,1.60716,0.53993,0.51962,0.52209,0.27053,1.66956,1.90035,1.59916,0.0007055,0.0007055,0.0007055
24,6533.65,1.66617,1.90234,1.58351,0.56911,0.51381,0.53291,0.2757,1.67335,1.89079,1.57387,0.00068075,0.00068075,0.00068075
25,6743.26,1.66941,1.91072,1.58127,0.55696,0.51295,0.53162,0.27622,1.66155,2.00904,1.57404,0.000656,0.000656,0.000656
26,6951.27,1.64903,1.88918,1.56685,0.56181,0.54876,0.55658,0.29559,1.62468,1.81548,1.56531,0.00063125,0.00063125,0.00063125
27,7159.93,1.64597,1.87357,1.56106,0.58898,0.55426,0.57131,0.30723,1.60335,1.78826,1.52447,0.0006065,0.0006065,0.0006065
28,7369.06,1.61887,1.83361,1.54375,0.5921,0.53997,0.55904,0.29733,1.62959,1.80255,1.5551,0.00058175,0.00058175,0.00058175
29,7578.18,1.63341,1.80972,1.53868,0.60337,0.57246,0.59321,0.32464,1.58395,1.7081,1.50707,0.000557,0.000557,0.000557
30,7787.39,1.61414,1.77674,1.52341,0.61629,0.58288,0.61292,0.33269,1.58076,1.72786,1.50629,0.00053225,0.00053225,0.00053225
31,7996.39,1.59198,1.76547,1.5271,0.61841,0.56486,0.60197,0.3329,1.56667,1.74571,1.5113,0.0005075,0.0005075,0.0005075
32,8205.37,1.56618,1.7323,1.50396,0.61647,0.58822,0.61385,0.34336,1.54009,1.62656,1.48795,0.00048275,0.00048275,0.00048275
33,8414.08,1.59525,1.73003,1.51613,0.6389,0.5925,0.62092,0.3484,1.53981,1.66311,1.48733,0.000458,0.000458,0.000458
34,8622.97,1.5672,1.7045,1.49965,0.64117,0.60975,0.64698,0.36647,1.51817,1.63167,1.46505,0.00043325,0.00043325,0.00043325
35,8831.8,1.5657,1.67763,1.49633,0.64709,0.60319,0.64759,0.37165,1.51263,1.55275,1.46098,0.0004085,0.0004085,0.0004085
36,9040.7,1.53886,1.64315,1.48397,0.6768,0.61432,0.66785,0.38631,1.49766,1.53644,1.44455,0.00038375,0.00038375,0.00038375
37,9255.63,1.53659,1.6204,1.4774,0.66164,0.62318,0.67069,0.38998,1.4743,1.56177,1.44507,0.000359,0.000359,0.000359
38,9464.78,1.51415,1.58605,1.46441,0.6872,0.62089,0.68487,0.40243,1.46843,1.47915,1.42695,0.00033425,0.00033425,0.00033425
39,9672.13,1.51725,1.5703,1.45921,0.70019,0.63537,0.69971,0.41251,1.45479,1.48488,1.41784,0.0003095,0.0003095,0.0003095
40,9879.61,1.49883,1.57733,1.44743,0.70009,0.64457,0.70812,0.42006,1.43992,1.41725,1.40584,0.00028475,0.00028475,0.00028475
41,10109.6,1.49723,1.48585,1.48989,0.71398,0.64762,0.71418,0.42708,1.42755,1.42739,1.40006,0.00026,0.00026,0.00026
42,10316.8,1.47115,1.45028,1.46721,0.71124,0.66279,0.72617,0.43986,1.40457,1.38912,1.39064,0.00023525,0.00023525,0.00023525
43,10523.6,1.46294,1.38746,1.45993,0.72454,0.67041,0.73979,0.45315,1.38941,1.33159,1.36864,0.0002105,0.0002105,0.0002105
44,10731.9,1.45151,1.38573,1.45254,0.7312,0.67884,0.74916,0.46212,1.3748,1.35885,1.36266,0.00018575,0.00018575,0.00018575
45,10940.9,1.41967,1.34457,1.42866,0.7356,0.69332,0.75735,0.47304,1.36216,1.33138,1.35249,0.000161,0.000161,0.000161
46,11153.9,1.41439,1.30877,1.42534,0.74489,0.69853,0.768,0.48316,1.34446,1.25229,1.33911,0.00013625,0.00013625,0.00013625
47,11361.8,1.39089,1.29687,1.42091,0.75213,0.7122,0.77547,0.49183,1.32903,1.256,1.32986,0.0001115,0.0001115,0.0001115
48,11570.6,1.37523,1.26425,1.40491,0.76989,0.71427,0.78801,0.50424,1.31525,1.21788,1.31797,8.675e-05,8.675e-05,8.675e-05
49,11779.4,1.3667,1.23948,1.39644,0.77145,0.71939,0.79345,0.50993,1.30444,1.1899,1.3134,6.2e-05,6.2e-05,6.2e-05
50,11986.9,1.35153,1.21631,1.38831,0.77757,0.72167,0.79587,0.51452,1.29762,1.18816,1.3084,3.725e-05,3.725e-05,3.725e-05
